10cc/Dreadlock Holiday.2.mid	4 100
Los Bravos/Black Is Black.3.mid	1 28
Los Del Rio/Macarena.1.mid	4 73
Los Del Rio/Macarena.3.mid	4 57
Los Del Rio/Macarena.6.mid	4 26
Los Del Rio/Macarena.7.mid	4 56
Lou Rawls/Lady Love.mid	4 65
Lou Reed/Walk On The Wild Side.2.mid	1 73
Lou Reed/Walk On The Wild Side.mid	9 11
Louis Armstrong/(What a) Wonderful World.1.mid	4 66
Louis Armstrong/(What a) Wonderful World.2.mid	1 68
Louis Armstrong/(What a) Wonderful World.5.mid	4 66
Louis Armstrong/What A Wonderful World.1.mid	1 68
Louis Armstrong/What A Wonderful World.2.mid	4 73
Louis Prima/Just a Gigolo.mid	1 18
Love Unlimited Orchestra/I'm So Glad That I'm a Woman.mid	4 35
Loverboy/Hot Girls in Love.1.mid	4 29
Loverboy/Hot Girls in Love.mid	1 29
Loverboy/The Kid Is Hot Tonight.mid	4 34
Loverboy/This Could Be the Night.2.mid	4 75
Loverboy/This Could Be the Night.mid	1 75
Loverboy/Working for the Weekend.1.mid	4 62
Loverboy/Working for the Weekend.mid	1 62
Ludwig van Beethoven/Fur Elise.1.mid	4 0
Lulu/To Sir With Love.mid	1 27
Luther Ingram/If Loving You Is Wrong (I Don't Want to Be Right).mid	1 1
Luther Ingram/If Loving You Is Wrong (I Don't Want to Be Right).mid	2 1
Luther Vandross/Endless Love.mid	4 35
Lynn Anderson/Blue Bayou.mid	4 73
Lynyrd Skynyrd/I Know a Little.mid	1 26
Lynyrd Skynyrd/Saturday Night Special.mid	16 0
Lynyrd Skynyrd/Sweet Home Alabama.1.mid	1 5
M2M/Don't Say You Love Me.mid	9 79
MN8/If You Only Let Me In.mid	4 65
Madonna/Borderline.2.mid	4 84
Madonna/Borderline.5.mid	4 84
Madonna/Cherish.2.mid	4 53
Madonna/Cherish.mid	4 53
Madonna/Crazy for You.1.mid	4 71
Madonna/Crazy for You.mid	4 71
Madonna/Deeper and Deeper.mid	4 83
Madonna/Hanky Panky.2.mid	1 18
Madonna/Hanky Panky.mid	11 64
Madonna/Holiday.4.mid	4 27
Madonna/Holiday.6.mid	4 26
Madonna/I'll Remember.1.mid	4 53
Madonna/Into the Groove.mid	4 85
Madonna/Keep It Together.2.mid	2 10
Madonna/La Isla Bonita.mid	1 75
Madonna/Like A Virgin.3.mid	4 39
Madonna/Live to Tell.1.mid	4 53
Madonna/Lucky Star.2.mid	1 68
Madonna/Lucky Star.mid	1 33
Madonna/Open Your Heart.mid	1 66
Madonna/Papa Don't Preach.2.mid	1 56
Madonna/Secret.2.mid	4 99
Madonna/Take A Bow (1995).4.mid	4 53
Madonna/True Blue.1.mid	1 73
Magic Affair/Fire.mid	4 5
Magic Affair/Give Me All Your Love.mid	4 38
Major Harris/Sideshow.mid	1 56
Mamas/California Dreamin'.mid	4 73
Mamas/Dream A Little Dream Of Me.mid	1 53
Mamas/Monday Monday.mid	4 71
Manfred Mann/The Mighty Quinn.mid	1 66
Marc Anthony/Hasta Ayer.mid	8 2
Marc Cohn/Walking In Memphis.mid	4 80
Marco Borsato/Ik leef niet meer voor jou.mid	4 26
Marco Borsato/Je hoeft niet naar huis vannacht.mid	4 73
Marco Borsato/Waarom nou jij.mid	4 35
Mariah Carey/All I Want for Christmas Is You.mid	4 77
Mariah Carey/All I've Ever Wanted.mid	5 54
Mariah Carey/All in Your Mind.mid	8 54
Mariah Carey/Always Be My Baby.mid	4 73
Mariah Carey/And You Don't Remember.mid	7 54
Mariah Carey/Anytime You Need a Friend.2.mid	4 75
Mariah Carey/Anytime You Need a Friend.3.mid	4 11
Mariah Carey/Butterfly.1.mid	4 65
Mariah Carey/Butterfly.2.mid	4 65
Mariah Carey/Butterfly.mid	4 53
Mariah Carey/Can't Let Go.mid	12 54
Mariah Carey/Can't Let Go.mid	13 54
Mariah Carey/Do You Know Where You're Going To (Theme From Mahogany).mid	1 0
Mariah Carey/Dream Lover.2.mid	1 82
Mariah Carey/Emotions.1.mid	4 54
Mariah Carey/Endless Love.mid	1 0
Mariah Carey/Fantasy.1.mid	4 73
Mariah Carey/Heartbreaker.1.mid	1 73
Mariah Carey/Heartbreaker.1.mid	11 83
Mariah Carey/Honey.1.mid	4 65
Mariah Carey/Honey.mid	0 
Mariah Carey/I'll Be There.3.mid	1 60
Mariah Carey/I'll Be There.mid	1 60
Mariah Carey/I've Been Thinking About You.mid	4 71
Mariah Carey/If It's Over.mid	7 54
Mariah Carey/Just to Hold You Once Again.mid	4 54
Mariah Carey/Miss You Most (At Christmas Time).mid	4 54
Mariah Carey/Music Box.mid	4 54
Mariah Carey/Never Forget You.mid	7 54
Mariah Carey/Now That I Know.mid	3 54
Mariah Carey/Open Arms.mid	1 68
Mariah Carey/Sent From Up Above.mid	4 54
Mariah Carey/Silent Night.1.mid	4 18
Mariah Carey/Slipping Away.mid	4 65
Mariah Carey/There's Got To Be A Way (album version).mid	4 54
Mariah Carey/Till the End of Time.mid	4 54
Mariah Carey/To Be Around You.mid	5 54
Mariah Carey/Underneath the Stars.mid	5 64
Mariah Carey/Vanishing.mid	4 54
Mariah Carey/Vision of Love.mid	4 75
Mariah Carey/When I Saw You.mid	9 54
Mariah Carey/Whenever You Call.mid	4 65
Marianne & Michael/Wann fangt denn endlich d' Musi an.1.mid	1 71
Marilyn Monroe/Diamonds Are a Girl's Best Friends.mid	1 99
Mark 'Oh/Droste, Horst Du Mich_.mid	4 53
Mark 'Oh/Love Song (long version).mid	4 65
Mark 'Oh/Tears Don't Lie (long version).1.mid	4 95
Mark Morrison/Return of the Mack.mid	4 65
Marley Bob/No Woman, No Cry.mid	11 53
Marley Bob/Waiting In Vain.mid	1 100
Marusha/It Takes Me Away.mid	4 30
Marusha/Somewhere Over the Rainbow.mid	4 52
Marx Richard/Right Here Waiting.3.mid	1 99
Masini/Protagonista.mid	15 110
Masquerade/Guardian Angel.mid	4 26
Masterboy/Land of Dreaming.mid	4 80
Mathis/A Certain Smile from _A Certain Smile_.mid	4 59
Matia Bazar/Vacanze romane.1.mid	4 42
Matt Bianco/Get Out Of Your Lazy Bed.mid	vocal line missing
Matt Bianco/Half a Minute.1.mid	1 53
Maxx/No More (I Can't Stand It).mid	4 62
McCartney/Another Day.mid	4 64
McCartney/Ballroom Dancing.mid	4 17
McCartney/Band On The Run.1.mid	4 60
McCartney/Band On The Run.mid	4 60
McCartney/Bip Bop.mid	4 59
McCartney/C Moon.mid	4 82
McCartney/C'Mon People.mid	1 0
McCartney/Coming Up.mid	4 114
McCartney/Ebony and Ivory.mid	4 75
McCartney/Figure of Eight.mid	4 18
McCartney/Goodnight Tonight.mid	4 73
McCartney/Heart of the Country.mid	4 105
McCartney/Hi Hi Hi.mid	4 75
McCartney/Hope of Deliverance.1.mid	1 26
McCartney/How Many People.mid	4 82
McCartney/Junior's Farm.mid	4 82
McCartney/Let 'em In.mid	4 73
McCartney/Let Me Roll It.mid	4 18
McCartney/Letting Go.mid	4 87
McCartney/Listen to What the Man Said.mid	4 26
McCartney/Magneto and Titanium Man.mid	4 18
McCartney/Monkberry Moon Delight.mid	4 80
McCartney/Mull of Kintyre.1.mid	4 82
McCartney/My Brave Face.mid	4 26
McCartney/My Love.mid	4 63
McCartney/Nineteen Hundred and Eighty Five.mid	4 63
McCartney/No More Lonely Nights (Ballad reprise).mid	4 75
McCartney/Picasso's Last Words (Drink to Me).mid	4 22
McCartney/Pipes of Peace.1.mid	4 73
McCartney/Put It There.mid	4 24
McCartney/Rock Show.1.mid	4 18
McCartney/Silly Love Songs.mid	4 72
McCartney/Take It Away.mid	4 26
McCartney/Temporary Secretary.mid	4 64
McCartney/That Day Is Done.mid	4 22
McCartney/Tug of War.mid	4 99
McCartney/Uncle Albert   Admiral Halsey.mid	4 73
McCartney/Venus and Mars.mid	4 73
McCartney/Wanderlust.mid	4 24
McCartney/We Got Married.mid	4 75
McCartney/Wild Life.mid	4 75
McCartney/With a Little Luck.mid	4 26
Meat Loaf/I'd Do Anything for Love (But I Won't Do That).2.mid	2 0
Meat Loaf/I'd Lie for You (And That's the Truth).mid	4 5
Megadeth/Symphony of Destruction.mid	4 18
Melanie/Feels So Good (Blacksmith R&B Rub) (feat. Know _uestion).mid	13 75
Melissa Etheridge/Come To My Window.1.mid	-1 -1 no clear melody
Men at Work/Down Under.1.mid	4 22
Men at Work/Down Under.mid	4 22
Men at Work/Who Can It Be Now.1.mid	1 18
Men at Work/Who Can It Be Now.mid	1 22
Metallica/Battery.1.mid	9 80
Metallica/Damage, Inc..mid	3 25
Metallica/Disposable Heroes.mid	3 30
Metallica/Leper Messiah.2.mid	4 84
Metallica/The Thing That Should Not Be.1.mid	3 84
Metallica/Welcome Home (Sanitarium).3.mid	5 84
Michael Bolton/How Am I Supposed to Live Without You.4.mid	4 65
Michael Bolton/Love Is a Wonderful Thing.mid	8 62
Michael Bolton/Soul of My Soul.mid	4 26
Michael Bolton/Whiter Shade of Pale.mid	4 11
Michael George/Careless Whisper.mid	4 73
Michael George/Don't Let The Sun Go Down On Me.1.mid	4 1
Michael George/Faith.2.mid	4 73
Michael George/Father Figure.mid	4 82
Michael George/Jesus to a Child.2.mid	6 24
Michael George/Jesus to a Child.3.mid	4 75
Michael George/Jesus to a Child.mid	6 24
Michael George/One More Try.2.mid	1 64
Michael George/One More Try.3.mid	4 73
Michael George/One More Try.mid	1 64
Michael George/Praying for Time.mid	4 82
Michael George/Wake Me Up Before You Go Go.mid	4 24
Michael Jackson/Beat It.mid	1 11
Michael Jackson/Black or White.mid	1 82
Michael Jackson/I Just Can't Stop Loving You.mid	1 11
Michael Jackson/Smooth Criminal.mid	1 11
Michael Jackson/The Girl Is Mine.mid	1 11
Michael Jackson/The Way You Make Me Feel.mid	1 11
Michael Jackson/Wanna Be Startin' Somethin'.mid	1 11
Michael Learns to Rock/Wild Woman.mid	4 81
Michael Sembello/Maniac.mid	4 80
Michele Zarrillo/L'elefante e la farfalla.mid	4 73
Middle of the Road/Sacramento.1.mid	0 
Middle of the Road/Sacramento.mid	1 28
Mike + The Mechanics/All I Need Is a Miracle.1.mid	4 85
Mike + The Mechanics/Another Cup of Coffee.2.mid	4 81
Mike + The Mechanics/Over My Schoulder.mid	4 62
Mike + The Mechanics/Silent Running.mid	4 68
Milli Vanilli/Girl I'm Gonna Miss You.mid	7 73
Mina/Ancora ancora ancora.mid	4 22
Mina/Bugiardo e incosciente.mid	4 5
Mina/Chiedimi tutto.1.mid	4 73
Mina/Chiedimi tutto.mid	4 73
Mina/Insieme.2.mid	4 71
Mina/The Captain of Her Heart - Every Breath You Take.1.mid	4 10
Mina/Torno venerdi.1.mid	4 73
Mina/Torno venerdi.mid	4 73
Mixed Emotions/Just for You.mid	1 24
Mixed Emotions/You Want Love (Maria, Maria).mid	1 64
Modern Talking/You Can Win If You Want.1.mid	1 60
Monty Python/Always Look on the Bright Side of Life.1.mid	1 65
Morandi/Andavo a cento all'ora.1.mid	4 56
Morricone Ennio/L'uomo Dell'armonica.mid	4 52
Morricone Ennio/The Good, the Bad & The Ugly.mid	1 72
Morris Albert/Feelings.4.mid	4 11
Motley Crue/Girls Girls Girls.mid	1 0
Mr. Mister/Broken Wings.1.mid	4 99
Mr. President/Co Co Jamboo.mid	4 26
Mr. President/I'll Follow The Sun.mid	4 62
Mylene Farmer/Pourvu qu'elles soient douces.mid	1 93
Nakatomi/Children of the Night.1.mid	4 66
Nancy Sinatra/Something Stupid.mid	1 11
Nas/If I Ruled the World.mid	1 75
Nashville Teens/Tobacco Road.mid	4 26
Nat King Cole/I Understand.mid	4 26
Nat King Cole/Unforgetable.1.mid	4 64
Natalie Cole/Miss You Like Crazy.mid	4 7
Natalie Cole/Unforgettable.mid	4 64
Natalie Imbruglia/Torn.1.mid	4 65
Nazareth/Dream On.mid	4 35
Nazareth/Love Hurts.2.mid	1 57
Neil Diamond/America.1.mid	4 63
Neil Diamond/America.3.mid	4 63
Neil Diamond/Beautiful Noise.2.mid	13 73
Neil Diamond/Beautiful Noise.mid	1 24
Neil Diamond/Coming to America.mid	4 63
Neil Diamond/Hello Again.1.mid	3 99
Neil Diamond/Longfellow Serenade.mid	5 88
Neil Diamond/Love on the Rocks.2.mid	1 24
Neil Diamond/Play Me.1.mid	1 3
Neil Diamond/Play Me.mid	1 24
Neil Diamond/Play Me.mid	2 25
Neil Diamond/Red Red Wine.mid	5 60
Neil Diamond/September Morn.mid	4 11
Neil Diamond/Shilo.mid	11 81
Neil Diamond/Shilo.mid	12 73
Neil Diamond/Song Sung Blue.2.mid	7 24
Neil Diamond/Song Sung Blue.2.mid	4 0
Neil Diamond/Sunday Sun.mid	1 54
Neil Diamond/Sweet Caroline.1.mid	1 27
Neil Diamond/Sweet Caroline.4.mid	1 3
Neil Sedaka/Breaking Up Is Hard to Do.mid	7 67
Neil Young/Cinnamon Girl.1.mid	4 82
Neil Young/Down by the River.mid	4 27
Neil Young/Down by the River.mid	1 27
Neil Young/Ohio.mid	1 64
Neil Young/Old Man.mid	8 40
Neil Young/Southern Man.mid	6 26
Nek/Fianco a fianco.mid	1 2
New Kids on the Block/Step By Step.mid	1 21
New Order/Bizarre Love Triangle.1.mid	4 93
New Order/True Faith.mid	5 100
Nick Gilder/Hot Child in the City.1.mid	4 62
Nick Kamen/I Promised Myself.mid	1 82
Nick MacKenzie/Hello, Good Morning.mid	4 26
Nicki French/Total Eclipse of the Heart.mid	4 65
Nico Landers/Liefde in de nacht.mid	4 35
Nightcrawlers/Push The Feeling On (MK Dub Revisted Edit).1.mid	4 65
Nina Simone/My Baby Just Cares for Me.1.mid	4 56
Nini Rosso/Il Silenzio.mid	1 56
Nino De Angelo/Jenseits von Eden.mid	4 71
Nirvana/Heart-Shaped Box.5.mid	4 52
Nirvana/Heart-Shaped Box.8.mid	4 52
Nomadi/Canzone per un'amica.1.mid	4 22
Nomadi/Canzone per un'amica.mid	4 22
Nomadi/Io vagabondo.3.mid	4 54
Nomadi/Io vagabondo.4.mid	4 62
Nuovi Angeli/Anna da dimenticare.mid	4 11
Nuovi Angeli/Donna felicita.mid	4 26
Oasis/All Around the World.1.mid	4 62
Oberkrainer/Es ist so schon ein Musikant zu sein.3.mid	1 21
Ocean Billy/Suddenly.mid	0 
Ocean Billy/There'll Be Sad Songs (To Make You Cry).mid	2 44
Ocean Billy/There'll Be Sad Songs (To Make You Cry).mid	4 48
Ocean Billy/When the Going Gets Touch, the Touch Get Going.1.mid	9 26
Odyssey/Move Your Body.mid	4 30
Ohio Express/Yummy Yummy Yummy.1.mid	1 67
Oingo Boingo/Dead Man's Party.mid	-1 -1 melody in various channels
Oingo Boingo/Grey Matter.mid	9 85
Oldfield, Mike/Etude (From 'Killing Fields').mid	-1 -1 shifting melody
Oldfield, Mike/Innocent.1.mid	1 18
Oldfield, Mike/Innocent.mid	2 18
Oliver/Good Morning Starshine.mid	4 71
Olivia Newton-John/Banks of the Ohio.1.mid	1 24
Olivia Newton-John/Have You Ever Been Mellow.mid	4 11
Olivia Newton-John/Have You Ever Been Mellow.mid	5 54
Olivia Newton-John/I Love You, I Honestly Love You.1.mid	1 0
Olivia Newton-John/I Love You, I Honestly Love You.2.mid	1 0
Olivia Newton-John/I Love You, I Honestly Love You.mid	4 73
Olivia Newton-John/Let Me Be There.1.mid	4 75
Olivia Newton-John/Let Me Be There.mid	1 0
Olivia Newton-John/Let Me Be There.mid	2 0
Olivia Newton-John/Let's Get Physical.mid	1 88
Olivia Newton-John/Physical.1.mid	1 11
Olivia Newton-John/Please Mr. Please.mid	1 5
Olivia Newton-John/Please Mr. Please.mid	2 6
Opus/Live Is Life.1.mid	4 29
Opus/Live Is Life.mid	1 57
Orchestral Manoeuvres in the Dark/Call My Name.mid	1 25
Orchestral Manoeuvres in the Dark/Enola Gay.mid	1 100
Orchestral Manoeuvres in the Dark/Sailing on Seven Seas.mid	1 65
Otis Redding/Try a Little Tenderness.mid	1 26
Ottawan/D I S C O.mid	1 20
Ottawan/Hands Up.2.mid	4 56
PRESTON BILLY/Will It Go Round in Circles.mid	4 7
Paoli/Sassi.mid	4 73
Papa Roach/Last Resort.1.mid	5 78
Papa Roach/Last Resort.mid	5 78
Party Animals/Hava Naquila.mid	1 56
Pat Benatar/Love Is A Battlefield.1.mid	4 35
Pat Benatar/We Belong.1.mid	1 82
Pat Benatar/We Belong.2.mid	4 82
Pat Benatar/We Belong.mid	1 87
Pat Boone/Speedy Gonzales.mid	1 65
Pater Moeskroen/Roodkapje.mid	1 93
Patrick Swayze/She's Like the Wind.mid	5 25
Patrick Swayze/She's Like the Wind.mid	7 0
Patsy Cline/Walkin' After Midnight.mid	5 4
Paul Dukas/The Sorcerer's Apprentice.mid	4 68
Paul McCartney/Jet.mid	1 48
Paul McCartney/Live and Let Die.mid	1 11
Paul Simon/Bridge Over Troubled Water.mid	5 4
Paul Simon/Mrs. Robinson.mid	4 11
Paul Young/Every Time You Go Away.3.mid	4 25
Paul de Leeuw/Ik wil niet dat je liegt.1.mid	4 18
Paul de Leeuw/Ik wil niet dat je liegt.mid	4 71
Paul de Leeuw/Je hoort bij mij.mid	4 65
Paul de Leeuw/Kopa Koopavond.mid	4 80
Paula Abdul/Blowing Kisses in the Wind.1.mid	1 11
Paula Abdul/Blowing Kisses in the Wind.2.mid	4 73
Paula Abdul/Blowing Kisses in the Wind.mid	1 11
Paula Abdul/Forever Your Girl.1.mid	4 73
Paula Abdul/Opposites Attract.mid	4 65
Paula Abdul/Straight Up.2.mid	1 11
Paula Abdul/Straight Up.3.mid	1 85
Paula Abdul/The Promise of a New Day.mid	1 18
Pausini laura/La Solitudine.mid	4 26
Pausini laura/Strani Amori.mid	4 99
Peaches & Herb/Reunited.1.mid	4 82
Pearl Jam/Daughter.mid	16 48
Pearl Jam/Last Kiss.mid	5 103
Pearl Jam/Last Kiss.mid	6 103
Pearl Jam/Last Kiss.mid	7 103
Pearl Jam/Last Kiss.mid	8 29
Percy Faith/Theme from _A Summer Place_.mid	1 2
Percy Faith/Theme from _A Summer Place_.mid	6 25
Perplexer/Acid Folk.mid	4 82
Pet Shop Boys/Always on My Mind   In My House.2.mid	1 82
Pet Shop Boys/Always on My Mind   In My House.3.mid	4 54
Pet Shop Boys/Always on My Mind   In My House.mid	1 75
Pet Shop Boys/Domino Dancing.mid	1 73
Pet Shop Boys/Go West.1.mid	4 54
Pet Shop Boys/Go West.1.mid	5 94
Pet Shop Boys/Go West.4.mid	4 80
Pet Shop Boys/Go West.4.mid	5 94
Pet Shop Boys/Liberation.mid	4 73
Peter Cetera/Glory Of Love.1.mid	1 54
Peter Frampton/I'm In You.1.mid	4 88
Peter Frampton/I'm In You.mid	1 81
Peter Gabriel/Games Without Frontiers.mid	9 30
Peter Gabriel/I Have the Touch.mid	6 52
Peter Gabriel/Sledgehammer.3.mid	4 85
Peter Gabriel/That Voice Again.2.mid	13 50
Peter Gabriel/That Voice Again.mid	6 91
Peter Gabriel/Walk Through the Fire.mid	11 90
Peter Kent/It's a Real Good Feeling.mid	4 24
Peter Koelewijn & Zijn Rockets/Kom Van Dat Dak Af.mid	4 35
Peter de Koning/Het Is Altijd Lente in de Ogen Van de Tandartsassistente.mid	4 26
Peter, Paul & Mary/I Dig Rock 'n' Roll Music.1.mid	1 65
Peter, Paul & Mary/I Dig Rock 'n' Roll Music.mid	4 56
Peter, Paul & Mary/Leaving on a Jet Plane.mid	8 73
Peter, Paul & Mary/Puff.2.mid	4 24
Peter, Paul & Mary/Puff.3.mid	4 24
Pharao/There Is a Star.mid	4 30
Pink Floyd/Hey You.mid	4 64
Pink Floyd/High Hopes.mid	4 22
Pink Floyd/Nobody Home.mid	3 0
Pink Floyd/Wish You Were Here.2.mid	9 49
Pink Floyd/Wish You Were Here.4.mid	4 26
Player/Baby Come Back.mid	9 74
Pooh/...in concerto.mid	4 73
Pooh/Air India.mid	4 12
Pooh/Alessandra.mid	4 57
Pooh/Amici per sempre.1.mid	4 52
Pooh/Amici per sempre.mid	4 52
Pooh/Cercando di te.1.mid	1 1
Pooh/Danza a distanza.mid	4 81
Pooh/Diritto d'amare.mid	4 35
Pooh/Fammi fermare il tempo.mid	4 62
Pooh/Il silenzio della colomba.1.mid	4 29
Pooh/Il silenzio della colomba.mid	4 29
Pooh/La ragazza con gli occhi di sole.mid	5 25
Pooh/Le donne mi hanno detto.mid	4 87
Pooh/Parsifal.1.mid	4 53
Pooh/Tanta voglia di lei.1.mid	4 11
Powell Bud/I Get a Kick Out of You.mid	3 0
Prince Ital Joe/Happy People.1.mid	1 68
Prince Ital Joe/Happy People.mid	4 11
Prince Ital Joe/Life in the Streets (Street mix).mid	4 25
Prince Ital Joe/United.1.mid	4 1
Prince/1999.5.mid	16 73
Prince/Cream.1.mid	4 63
Prince/Get Off.1.mid	1 1
Prince/Get Off.mid	1 65
Prince/Let It Go.2.mid	4 25
Prince/Raspberry Beret.3.mid	4 18
Prince/Sign o' the Times.1.mid	5 24
Prince/U Got the Look.mid	4 28
Prince/When Doves Cry.2.mid	4 28
Procol Harum/A Whiter Shade Of Pale.2.mid	4 60
Procol Harum/Pandora's Box.mid	1 18
Pseudo Echo/Funky Town.1.mid	1 54
Puckett/Young Girl.1.mid	4 60
Queen/A Kind of Magic.4.mid	1 54
Queen/Another One Bites The Dust.2.mid	1 18
Queen/Another One Bites The Dust.4.mid	1 18
Queen/Another One Bites The Dust.6.mid	1 0
Queen/Fat Bottomed Girls.mid	4 62
Queen/Heaven for Everyone.1.mid	4 35
Queen/I Want It All.1.mid	4 87
Queen/I Want It All.mid	15 16
Queen/I Want It All.mid	15 16
Queen/Innuendo.1.mid	4 53
Queen/Living on My Own.mid	4 26
Queen/Made in Heaven.mid	4 85
Queen/Princes of the Universe.1.mid	4 23
Queen/Radio Ga Ga.mid	8 53
Queen/Too Much Love Will Kill You.1.mid	1 1
Queen/We Are The Champions.4.mid	7 103
Queen/We Will Rock You.2.mid	1 80
Queen/We Will Rock You.4.mid	1 29
Queen/We Will Rock You.5.mid	4 29
Queen/We Will Rock You.6.mid	1 80
Queen/You Don't Fool Me.2.mid	4 35
Queen/You Don't Fool Me.3.mid	4 53
Queensryche/Jet City Woman.1.mid	1 29
Queensryche/Jet City Woman.2.mid	4 81
Queensryche/Jet City Woman.mid	1 81
Queensryche/Silent Lucidity.3.mid	4 75
R. Kelly/I Believe I Can Fly.1.mid	1 54
R. Kelly/I Believe I Can Fly.1.mid	2 91
R. Kelly/I Believe I Can Fly.mid	1 54
R. Kelly/I Believe I Can Fly.mid	2 91
R. Kelly/You Remind Me Of Something.mid	11 74
R. Kelly/You Remind Me Of Something.mid	12 74
R.E.M_/Everybody Hurts.mid	4 80
R.E.M_/Everybody Hurts.mid	3 80
R.E.M_/Losing My Religion.2.mid	1 25
R.E.M_/Radio Song.mid	6 43
R.E.M_/The Great Beyond.mid	1 71
REDDING OTIS/(Sitin' on) The Dock of the Bay.2.mid	4 60
REDDING OTIS/I've Been Loving You Too Long.mid	4 58
RICHIE LIONEL/All Night Long.4.mid	4 2
RICHIE LIONEL/Do It to Me.mid	4 26
RICHIE LIONEL/Easy.mid	4 82
RICHIE LIONEL/Endless Love.1.mid	1 99
RICHIE LIONEL/Endless Love.2.mid	1 99
RICHIE LIONEL/Hello.3.mid	4 66
RICHIE LIONEL/Hello.6.mid	4 66
RICHIE LIONEL/Say You, Say Me.2.mid	4 63
RMB/Experience (Follow Me).mid	4 62
Raf/Self Control.1.mid	4 54
Raffaella Carra/A far l'amore.mid	4 58
Randy Crawford/One Day I'll Fly Away.4.mid	4 26
Ray Charles/Georgia.1.mid	4 65
Ray Charles/Georgia.1.mid	4 65
Ray Charles/I Can't Stop Loving You.mid	1 65
Real McCoy/Another Night.3.mid	4 65
Real McCoy/It's on You.mid	1 61
Real McCoy/Love & Devotion.mid	4 65
Redbone/Come and Get Your Love.mid	4 73
Rednex/Cotton Eyed Joe.1.mid	4 3
Rednex/Cotton Eyed Joe.mid	4 83
Rednex/The Ultimate Rednex Mega Mix, Part 3_ Cotton Eye Joe.mid	4 3
Rednex/Wish You Were Here.mid	1 73
Reel 2 Real/I Like to Move It.mid	4 87
Rembrandts/I'll Be There For You.mid	1 65
Rembrandts/Just The Way It Is, Baby.mid	1 56
Rene Froger/For a Date With You.mid	4 73
Rene Froger/Here in My Heart.mid	4 27
Rene Froger/I'm a Singer, This Is the Moment (medley).mid	4 35
Rene Froger/In Dreams.mid	4 26
Rene Froger/Nobody Else (single remix).mid	4 65
Rene Froger/Nobody Else.mid	4 65
Rene Froger/What a Woman Can Do.mid	4 35
Rene Froger/Why Goodbye.mid	4 65
Rene Froger/Wild Rhythm.mid	4 35
Revere/Indian Reservation.mid	7 66
Rich , Buddy/Groovin' Hard.mid	-1 -1 melody spread out in many channels
Richard Cliff/Living Doll.1.mid	1 99
Richard Cliff/Lucky Lips.mid	1 56
Richard Cliff/Move It.mid	4 68
Richard Cliff/Some People.mid	3 88
Richard Cliff/We Don't Talk Anymore.1.mid	4 65
Richard Sanderson/Reality.1.mid	4 75
Rick Astley/Cry For Help.mid	6 0
Rick Astley/Never Gonna Give You Up.mid	4 73
Rick Astley/Together Forever.mid	1 22
Ricky Nelson/Poor Little Fool.mid	4 48
Ricky Nelson/Poor Little Fool.mid	5 27
Ricky Nelson/Poor Little Fool.mid	6 26
Ricky Nelson/Poor Little Fool.mid	7 28
Ricky Nelson/Travelin' Man.mid	1 56
Righeira/Vamos A La Playa.mid	4 11
Right Said Fred/Don't Talk Just Kiss.2.mid	1 81
Right Said Fred/I'm Too Sexy.1.mid	4 30
Right Said Fred/I'm Too Sexy.mid	1 1
Rita Coolidge/(Your Love Has Lifted Me) Higher and Higher.mid	5 0
Robbie Williams/She's the One.mid	16 73
Robert Leroy/Ik droom alleen maar van jou.mid	4 65
Robert Miles/One and One.1.mid	7 48
Robert Palmer/Addicted to Love.3.mid	4 79
Robert Palmer/Bad Case Of Lovin' You ( Doctor, Doctor).mid	1 66
Robert Palmer/Know By Now.mid	4 75
Robert Palmer/Simply Irresistible.1.mid	4 22
Roberta Flack/Feel Like Makin' Love.mid	4 4
Roberts/Stasera mi butto.mid	4 11
Robin Beck/First Time.mid	4 35
Robin Cock/The Promise You Made.mid	4 66
Rocco Granata/Marina.mid	4 21
Rod Stewart/First Cut Is the Deepest.mid	4 65
Rod Stewart/Some Guys Have All the Luck.1.mid	1 75
Rod Stewart/Some Guys Have All the Luck.mid	1 75
Rod Stewart/Tom Traubert's Blues (Waltzing Matilda).mid	1 1
Rod Stewart/Tonight's the Night.mid	4 53
Rod Stewart/You Wear It Well.mid	1 87
Rogers Kenny/Lady.2.mid	7 53
Rogers Kenny/Lucille.mid	1 24
Rogers Kenny/Ruby, Dont Take Your Love to Town.mid	16 54
Rogers Kenny/She Believes In Me.1.mid	9 25
Rogers Kenny/The Gambler.1.mid	6 40
Romina Power Al Bano/Felicita.1.mid	4 62
Romina Power Al Bano/Sempre sempre.1.mid	1 65
Ron/Una Citta Per Cantare.mid	4 26
Ron/Una Citta Per Cantare.mid	11 89
Ron/Una Citta Per Cantare.mid	11 89
Ron/Vorrei incontrarti fra cent'anni (con la partecipazione di Tosca).1.mid	4 0
Ronny Jordan/So What.mid	5 24
Roots Syndicate/Mockin' Bird Hill.mid	1 1
Ross/Touch by Touch.mid	1 62
Ross/You Can't Hurry Love.mid	3 66
Rossi Vasco/Gli spari sopra (Celebrate).mid	4 53
Rossi Vasco/Ridere di te.1.mid	4 53
Roxette/Crash! Boom! Bang!.1.mid	4 75
Roxette/Crash! Boom! Bang!.mid	4 75
Roxette/Fading Like a Flower (Every Time You Leave).2.mid	2 56
Roxette/Fading Like a Flower (live Brussels 22 10 2001).mid	0 
